model,accuracy,precision,recall,f1,roc_auc
svm_rbf,0.5385826771653544,0.5849673202614379,0.518840579710145,0.5499231950844854,0.455352323838081
qnn_vqc,0.5338582677165354,0.5526881720430108,0.744927536231884,0.6345679012345679,0.526096951524238
logreg,0.5307086614173229,0.5647382920110193,0.5942028985507246,0.5790960451977402,0.5256071964017991
rf,0.49606299212598426,0.5274725274725275,0.6956521739130435,0.6,0.4695502248875562
